,spray,count
1,A,10
2,A,7
3,A,20
4,A,14
5,A,14
6,A,12
7,A,10
8,A,23
9,A,17
10,A,20
11,A,14
12,A,13
13,B,11
14,B,17
15,B,21
16,B,11
17,B,16
18,B,14
19,B,17
20,B,17
21,B,19
22,B,21
23,B,7
24,B,13
25,C,0
26,C,1
27,C,7
28,C,2
29,C,3
30,C,1
31,C,2
32,C,1
33,C,3
34,C,0
35,C,1
36,C,4
37,D,3
38,D,5
39,D,12
40,D,6
41,D,4
42,D,3
43,D,5
44,D,5
45,D,5
46,D,5
47,D,2
48,D,4
49,E,3
50,E,5
51,E,3
52,E,5
53,E,3
54,E,6
55,E,1
56,E,1
57,E,3
58,E,2
59,E,6
60,E,4
61,F,11
62,F,9
63,F,15
64,F,22
65,F,15
66,F,16
67,F,13
68,F,10
69,F,26
70,F,26
71,F,24
72,F,13
